GID,NUMSTAT,IDENT,ADRESSE,COMMUNE,DATESERV,LIGNCORR,NBSUPPOR,NOM,TARIF,TERMBANC,TYPEA,GEOM_O,CDATE,MDATE
607,113,116,"cours de la Libération, devant BEM",TALENCE,,21/Corol 35/Lianes 10/505,20,Ecole de Management,VLS,OUI,VCUB,0,20140923100704,20140923100704
608,125,125,"quai Ste Croix, devant le conservatoire",BORDEAUX,,C/58/Citéis 45/Lianes 10,20,Conservatoire,VLS,OUI,VCUB,0,20140923100704,20140923100704
609,15,30,"71, rue de la Croix Blanche",BORDEAUX,,26/83/Lianes 2/Lianes 3/Spécifique 74,14,Rue de la Croix Blanche,VLS,OUI,VCUB,0,20140923100704,20140923100704
610,19,32,58 allées de Tourny,BORDEAUX,,56 exp/Lianes 15/Lianes 4/Lianes 5/Lianes 6/83/Lianes 1/Lianes 2/Lianes 3/Citéis 47,20,Place Tourny,VLS,OUI,VCUB,0,20140923100704,20140923100704
611,92,98,5 avenue Montesquieu,SAINT-MEDARD-EN-JALLES,,30/71/83/Lianes 3/Corol 37/Flexo 55,16,St Medard Republique,VLS PLUS,OUI,VCUB,0,20140923100704,20140923100704
612,137,136,"Cours Barbey, à l'angle avec le cours de la Marne",BORDEAUX,,58/Citéis 45/Lianes 10 (spécial Train)/Lianes 11/Lianes 16,25,Pl. Andre Meunier,VLS,OUI,VCUB,0,20140923100704,20140923100704
613,96,101,"avenue de Laroque, derrière la station tram",BORDEAUX,,C/Lianes 7/Lianes 14/Lianes 15/Corol 33/Corol 35/Corol 37/Flexo 57/202/704/705/706,26,Les Aubiers,VLS PLUS,OUI,VCUB,0,20140923100704,20140923100704
614,61,70,angle quai de Queyries / allée Jean Giono,BORDEAUX,,91/92/Citéis 45/Flexo 50,16,Parc aux Angeliques,VLS,OUI,VCUB,0,20140923100704,20140923100704
615,82,89,avenue de la Chataigneraie,PESSAC,,24/Corol 34/Corol 36/Flexo 48/Flexo 54,18,La Chataigneraie (retirée depuis le 8 août 11 en raison des travaux tram - réouverture fin 2014),VLS PLUS,OUI,VCUB,0,20140923100704,20140923100704
616,114,117,angle rue de Compostelle / cours de la Libération,GRADIGNAN,,21/505,27,Compostelle,VLS,OUI,VCUB,0,20140923100704,20140923100704
617,132,131,118 cours de la Somme,BORDEAUX,,20/58/Lianes 10 (spécial Train)/Lianes 5,14,Cours de la Somme,VLS,OUI,VCUB,0,20140923100704,20140923100704
618,115,118,1 avenue de l'Université,TALENCE,,21/58/87/Corol 34/Corol 35/Lianes 8/Lianes 10,32,CREPS,VLS,OUI,VCUB,0,20140923100704,20140923100704
619,12,27,24 avenue Louis Barthou,BORDEAUX,,Lianes 2,16,Grand Lebrun (indisponible du 17 juillet au 15 septembre 2014),VLS,OUI,VCUB,0,20140923100704,20140923100704
620,160,294,Route de Saint-Médard,SAINT-AUBIN-DE-MEDOC,,83/Flexo 55 Résa/Lianes 3,10,Eglise St Aubin,VLS PLUS,OUI,VCUB,0,20140923100704,20140923100704
621,131,130,"place Nansouty, 238 cours de l'Yser",BORDEAUX,,20/58/Lianes 5/Lianes 9/Lianes 10 (spécial Train)/Citéis 43,16,Nansouty,VLS,OUI,VCUB,0,20140923100704,20140923100704
622,134,133,20 place du Maucaillou,BORDEAUX,,Citéis 47,19,Pl. du Maucaillou (fermée depuis le 28 février. Réouverture prévue fin d'année 2014),VLS,OUI,VCUB,0,20140923100704,20140923100704
623,94,99,rue de la gare,BLANQUEFORT,,TER/84/29/704,18,Gare de Blanquefort (réouverture prévue second semestre 2014),VLS PLUS,OUI,VCUB,0,20140923100704,20140923100704
624,161,323,62-64 avenue de Soulac,LE TAILLAN-MEDOC,,Lianes 5/Résago Taillan/Spécifique 79,15,Le Taillan Mairie (ouverture prévue en septembre 2014),,,VCUB,0,20140923100704,20140923100704
470,148,291,Avenue du Docteur Schinazi,BORDEAUX,,B,14,Berges de la Garonne,VLS PLUS,OUI,VCUB,0,20140923100652,20140923100652
471,150,292,22 Boulevard Feydeau,ARTIGUES-PRES-BORDEAUX,,27/Flexo 51 Résa,19,Feydeau,VLS PLUS,OUI,VCUB,0,20140923100652,20140923100652
472,33,43,195 rue David Johnston,BORDEAUX,,56 exp/72/Lianes 5/Lianes 6/Lianes 9/29/703,18,Barriere du Medoc (retirée le 19 juin 2014),VLS,OUI,VCUB,0,20140923100652,20140923100652
473,62,71,avenue Jean Jaurès,CENON,,TER/A/27/Citéis 40/Flexo 51,18,Cenon Gare,VLS PLUS,OUI,VCUB,0,20140923100652,20140923100652
474,78,5,"avenue Bougnard, face au P+R",PESSAC,,B/24/Corol 36/Flexo 54,20,Bougnard (retirée depuis le 9 nov 2012 en raison travaux extension tram - réouverture fin 2014),VLS PLUS,OUI,VCUB,0,20140923100652,20140923100652
475,144,290,92 Rue André Messager,BRUGES,,,19,Jean Moulin,VLS,OUI,VCUB,0,20140923100652,20140923100652
476,154,293,221 Avenue de Thouars,TALENCE,,Lianes 8,20,Thouars,VLS PLUS,OUI,VCUB,0,20140923100652,20140923100652
